Year,murders,pop,rate
1950,11,801444,1.37
1951,18,791019,2.28
1952,18,780595,2.31
1953,22,770170,2.86
1954,14,759745,1.84
1955,25,749321,3.34
1956,29,738896,3.92
1957,21,728471,2.88
1958,27,718046,3.76
1959,34,707622,4.8,
1960,27,697197,3.87
1961,26,697197,3.73
1962,52,674500,7.71
1963,44,663775,6.63
1964,52,700031,7.43
1965,57,659932,8.64
1966,58,664480,8.73
1967,71,615400,11.54
1968,102,605238,16.85
1969,91,584657,15.56
1970,114,641071,17.78
1971,116,633953,18.3
1972,104,630900,16.48
1973,135,625000,21.6
1974,134,617992,21.68
1975,119,616120,19.31
1976,81,619437,13.08
1977,75,619321,12.11
1978,72,616225,11.68
1979,92,599582,15.34
1980,92,562582,16.35
1981,100,566679,17.65
1982,93,567758,16.38
1983,90,566551,15.89
1984,82,565192,14.51
1985,87,573131,15.18
1986,105,574107,18.29
1987,76,575882,13.2
1988,93,579921,16.04
1989,99,580095,17.07
1990,143,574283,24.9
1991,113,572454,19.74
1992,73,572822,12.74
1993,98,553870,17.69
1994,85,556724,15.27
1995,96,550715,17.43
1996,59,552519,10.68
1997,43,555024,7.75
1998,34,559631,6.08
1999,31,557812,5.56
2000,39,589141,6.62
2001,65,591944,10.98
2002,60,596444,10.06
2003,39,589795,6.61
2004,61,580087,10.52
