Year,murders,pop,rate
1950,18,580132,3.1
1951,15,575395,2.61
1952,19,570657,3.33
1953,13,565920,2.3
1954,18,561183,3.21
1955,17,556446,3.06
1956,20,551708,3.63
1957,15,546971,2.74
1958,19,542234,3.5
1959,21,537496,3.91
1960,15,532759,2.82
1961,19,532759,3.57
1962,19,526990,3.61
1963,24,522760,4.59
1964,21,518509,4.05
1965,16,496387,3.22
1966,24,481453,4.98
1967,25,481453,5.19
1968,42,481453,8.72
1969,44,474600,9.27
1970,57,462768,12.32
1971,76,457004,16.63
1972,62,458649,13.52
1973,62,450000,13.78
1974,64,437000,14.65
1975,63,422276,14.92
1976,54,425101,12.7
1977,45,415352,10.83
1978,44,391695,11.23
1979,52,383915,13.54
1980,61,357384,17.07
1981,0,359167,0
1982,42,360493,11.65
1983,43,360656,11.92
1984,35,352015,9.94
1985,31,339890,9.12
1986,35,339685,10.3
1987,35,325787,10.74
1988,43,323714,13.28
1989,37,314284,11.77
1990,37,328123,11.28
1991,50,329353,15.18
1992,76,330466,23
1993,76,324855,23.4
1994,90,324354,27.75
1995,62,312395,19.85
1996,56,313238,17.88
1997,46,312411,14.72
1998,39,308648,12.64
1999,32,301069,10.63
2000,39,292648,13.33
2001,64,293187,21.83
2002,43,295441,14.55
2003,65,288187,22.55
2004,51,285567,17.86
