Year,murders,pop,rate
1950,39,503998,7.74
1951,36,503853,7.14
1952,32,503708,6.35
1953,37,503564,7.35
1954,25,503419,4.97
1955,33,503274,6.56
1956,47,503129,9.34
1957,43,502984,8.55
1958,39,502840,7.76
1959,45,502695,8.95
1960,26,502550,5.17
1961,37,502550,7.36
1962,44,500276,8.8
1963,33,509893,6.47
1964,38,487649,7.79
1965,41,498847,8.22
1966,50,500211,10
1967,63,502550,12.54
1968,46,500642,9.19
1969,66,500781,13.18
1970,59,452524,13.04
1971,79,473513,16.68
1972,69,446800,15.44
1973,68,437591,15.54
1974,67,435151,15.4
1975,64,433367,14.77
1976,56,427045,13.11
1977,72,423671,16.99
1978,57,405324,14.06
1979,50,404661,12.36
1980,48,383114,12.53
1981,43,383441,11.21
1982,52,383975,13.54
1983,27,382373,7.06
1984,36,378800,9.5
1985,45,370198,12.16
1986,46,370482,12.42
1987,69,371585,18.57
1988,47,377783,12.44
1989,45,372282,12.09
1990,49,364040,13.46
1991,54,367123,14.71
1992,49,369707,13.25
1993,39,366591,10.64
1994,38,366953,10.36
1995,50,359749,13.9
1996,32,360457,8.88
1997,0,360875,0
1998,0,344828,0
1999,28,337815,8.29
2000,22,331285,6.64
2001,56,331880,16.87
2002,70,333273,21
2003,72,324297,22.2
2004,64,318005,20.13
