Year,murders,pop,rate
1950,62,914808,6.78
1951,69,910932,7.57
1952,74,907056,8.16
1953,71,903181,7.86
1954,62,899305,6.89
1955,63,895429,7.04
1956,91,891553,10.21
1957,82,887677,9.24
1958,73,883802,8.26
1959,68,879926,7.73
1960,84,876050,9.59
1961,80,876050,9.13
1962,61,862789,7.07
1963,94,887417,10.59
1964,116,842679,13.77
1965,108,858823,12.58
1966,139,844134,16.47
1967,149,810858,18.38
1968,176,819101,21.49
1969,266,815023,32.64
1970,271,750903,36.09
1971,270,742900,36.34
1972,307,743600,41.29
1973,277,724445,38.24
1974,306,705826,43.35
1975,288,659931,43.64
1976,236,642298,36.74
1977,249,638793,38.98
1978,213,614512,34.66
1979,274,601381,45.56
1980,265,572657,46.28
1981,233,573145,40.65
1982,195,573944,33.98
1983,148,571827,25.88
1984,156,556931,28.01
1985,131,546126,23.99
1986,124,546544,22.69
1987,145,548171,26.45
1988,137,544515,25.16
1989,144,523906,27.49
1990,168,505616,33.23
1991,175,509898,34.32
1992,157,513487,30.58
1993,167,505730,33.02
1994,132,506230,26.08
1995,129,495074,26.06
1996,103,496049,20.76
1997,77,496624,15.5
1998,81,495516,16.35
1999,78,497903,15.67
2000,71,478403,14.84
2001,77,479263,16.07
2002,80,481274,16.62
2003,73,468446,15.58
2004,79,462260,17.09
