Year,murders,pop,rate
1950,113,1849568,6.11
1951,129,1831626,7.04
1952,109,1813683,6.01
1953,130,1795741,7.24
1954,108,1777798,6.07
1955,140,1759856,7.96
1956,105,1741914,6.03
1957,119,1723971,6.9
1958,110,1706029,6.45
1959,106,1688086,6.28
1960,150,1670144,8.98
1961,136,1670144,8.14
1962,131,1646810,7.95
1963,125,1628680,7.67
1964,125,1642544,7.61
1965,188,1640000,11.46
1966,214,1624936,13.17
1967,281,1640000,17.13
1968,389,1620000,24.01
1969,439,1593800,27.54
1970,495,1511482,32.75
1971,577,1519700,37.97
1972,601,1497226,40.14
1973,672,1468193,45.77
1974,714,1453057,49.14
1975,633,1432444,44.19
1976,663,1334100,49.7
1977,479,1316352,36.39
1978,498,1294359,38.47
1979,452,1258924,35.9
1980,547,1197325,45.69
1981,502,1193805,42.05
1982,513,1181868,43.41
1983,580,1176968,49.28
1984,514,1133647,45.34
1985,635,1090581,58.23
1986,648,1096947,59.07
1987,686,1091523,62.85
1988,629,1086714,57.88
1989,624,1039599,60.02
1990,582,1027974,56.62
1991,615,1036246,59.35
1992,595,1044128,56.99
1993,579,1020062,56.76
1994,541,1022283,52.92
1995,475,997297,47.63
1996,428,1002299,42.7
1997,469,1021412,45.92
1998,430,999976,43
1999,415,975020,42.56
2000,396,951270,41.63
2001,395,956283,41.31
2002,402,961987,41.79
2003,366,927766,39.45
2004,385,914353,42.11
