Year,murders,pop,rate
1950,4,163413,2.45
1951,3,166766,1.8
1952,3,170118,1.76
1953,8,173471,4.61
1954,9,176824,5.09
1955,11,180177,6.11
1956,4,183529,2.18
1957,6,186882,3.21
1958,4,190235,2.1
1959,13,193587,6.72
1960,10,196940,5.08
1961,14,196940,7.11
1962,8,201570,3.97
1963,12,200855,5.97
1964,10,212088,4.72
1965,16,211000,7.58
1966,15,213584,7.02
1967,26,215283,12.08
1968,28,219672,12.75
1969,30,221797,13.53
1970,25,193317,12.93
1971,33,193600,17.05
1972,45,193465,23.26
1973,41,194000,21.13
1974,49,191964,25.53
1975,37,191373,19.33
1976,32,181684,17.61
1977,44,179140,24.56
1978,37,180000,20.56
1979,36,164003,21.95
1980,34,159576,21.31
1981,34,159107,21.37
1982,33,157516,20.95
1983,32,156824,20.41
1984,46,153333,30
1985,47,149227,31.5
1986,61,150098,40.64
1987,52,146301,35.54
1988,44,147247,29.88
1989,59,142129,41.51
1990,55,140761,39.07
1991,52,141861,36.66
1992,52,142906,36.39
1993,48,139960,34.3
1994,58,140225,41.36
1995,41,138934,29.51
1996,40,139588,28.66
1997,19,142206,13.36
1998,32,135438,23.63
1999,39,132292,29.48
2000,36,124943,28.81
2001,41,125601,32.64
2002,30,126351,23.74
2003,28,122121,22.93
2004,39,120681,32.32
