Year,murders,pop,rate
1950,24,438776,5.47
1951,28,435420,6.43
1952,37,432065,8.56
1953,31,428709,7.23
1954,43,425354,10.11
1955,34,421998,8.06
1956,26,418642,6.21
1957,43,415287,10.35
1958,39,411931,9.47
1959,37,408576,9.06
1960,47,405220,11.6
1961,39,405220,9.62
1962,55,401779,13.69
1963,51,398506,12.8
1964,57,412614,13.81
1965,68,398920,17.05
1966,65,405220,16.04
1967,84,393926,21.32
1968,109,392537,27.77
1969,101,394111,25.63
1970,143,382417,37.39
1971,131,388675,33.7
1972,148,386058,38.34
1973,163,388034,42.01
1974,130,378386,34.36
1975,122,372663,32.74
1976,99,367886,26.91
1977,92,351412,26.18
1978,109,325679,33.47
1979,129,315818,40.85
1980,163,330104,49.38
1981,161,332746,48.39
1982,117,334414,34.99
1983,112,336016,33.33
1984,87,324961,26.77
1985,117,316356,36.98
1986,113,318801,35.45
1987,81,318402,25.44
1988,115,319191,36.03
1989,107,313839,34.09
1990,112,275221,40.69
1991,88,276510,31.83
1992,87,277544,31.35
1993,96,269892,35.57
1994,96,271025,35.42
1995,102,260232,39.2
1996,92,261909,35.13
1997,57,264270,21.57
1998,60,269205,22.29
1999,69,268348,25.71
2000,58,273546,21.2
2001,90,275823,32.63
2002,65,279269,23.28
2003,81,278551,29.08
2004,84,279857,30.02
