Year,murders,pop,rate
1950,65,570445,11.39
1951,52,576153,9.03
1952,66,581861,11.34
1953,54,587569,9.19
1954,67,593277,11.29
1955,52,598985,8.68
1956,63,604693,10.42
1957,48,610401,7.86
1958,55,616109,8.93
1959,59,621817,9.49
1960,55,627525,8.76
1961,52,627525,8.29
1962,79,634931,12.44
1963,61,648327,9.41
1964,82,656098,12.5
1965,87,663397,13.11
1966,113,675076,16.74
1967,117,686691,17.04
1968,95,697382,13.62
1969,77,696045,11.06
1970,100,593471,16.85
1971,116,590504,19.64
1972,163,601177,27.11
1973,208,591338,35.17
1974,199,587337,33.88
1975,158,571934,27.63
1976,170,557327,30.5
1977,173,587776,29.43
1978,216,559160,38.63
1979,242,567656,42.63
1980,218,557761,39.08
1981,217,571771,37.95
1982,233,579338,40.22
1983,210,589508,35.62
1984,214,576071,37.15
1985,152,561364,27.08
1986,197,563927,34.93
1987,205,549536,37.3
1988,228,538047,42.38
1989,251,528589,47.48
1990,304,496938,61.17
1991,345,500791,68.89
1992,279,505008,55.25
1993,395,491619,80.35
1994,424,493990,85.83
1995,363,487179,74.51
1996,351,488300,71.88
1997,267,488509,54.66
1998,230,471157,48.82
1999,158,465828,33.92
2000,204,484674,42.09
2001,213,484289,43.98
2002,258,486157,53.07
2003,274,475128,57.67
2004,264,471057,56.04
