Year,murders,pop,rate
1950,28,676806,4.14
1951,24,669559,3.58
1952,25,662311,3.77
1953,26,655064,3.97
1954,25,647816,3.86
1955,28,640569,4.37
1956,24,633322,3.79
1957,25,626074,3.99
1958,27,618827,4.36
1959,27,611579,4.41
1960,28,604332,4.63
1961,23,604332,3.81
1962,31,597010,5.19
1963,23,569047,4.04
1964,41,577239,7.1
1965,40,559000,7.16
1966,29,555300,5.22
1967,37,554886,6.67
1968,41,548400,7.48
1969,48,545500,8.8
1970,63,520117,12.11
1971,65,513000,12.67
1972,49,510600,9.6
1973,48,498272,9.63
1974,70,483697,14.47
1975,63,479083,13.15
1976,62,487106,12.73
1977,52,482413,10.78
1978,66,479443,13.77
1979,68,439407,15.48
1980,50,424205,11.79
1981,49,425632,11.51
1982,51,425814,11.98
1983,42,426890,9.84
1984,47,415475,11.31
1985,34,400969,8.48
1986,47,402204,11.69
1987,37,389015,9.51
1988,19,387190,4.91
1989,31,376412,8.24
1990,35,369879,9.46
1991,36,372349,9.67
1992,44,373842,11.77
1993,80,368473,21.71
1994,64,368594,17.36
1995,58,354780,16.35
1996,47,354308,13.27
1997,50,353248,14.15
1998,36,354228,10.16
1999,49,347072,14.12
2000,37,341247,10.84
2001,55,341414,16.11
2002,47,342529,13.72
2003,67,335302,19.98
2004,46,334231,13.76
