"Refnum","cx","cy","year"
"10-012",277,273,1964
"10-032",259,260,1964
"10-535",261,252,1964
"10-536",260,252,1964
"10-537",261,252,1964
"10-538",261,250,1964
"10-539",265,250,1964
"10-540",263,250,1964
"10-541",263,257,1964
"10-542",263,258,1964
"10-543",259,258,1964
"10-544",259,258,1964
"10-545",260,258,1964
"10-546",260,259,1964
"10-547",259,259,1964
"10-548",259,259,1964
"10-549",260,259,1964
"10-550",260,259,1964
"10-551",261,256,1964
"10-552",260,260,1964
"10-553",260,260,1964
"10-554",260,260,1964
"10-555",260,260,1964
"10-556",260,260,1964
"10-557",259,260,1964
"10-558",259,260,1964
"10-559",259,260,1964
"10-560",259,260,1964
"10-561",255,262,1964
"10-562",258,255,1964
"10-563",258,257,1964
"10-564",257,258,1964
"10-565",261,262,1964
"10-566",258,259,1964
"10-567",258,260,1964
"10-568",258,260,1964
"10-569",258,260,1964
"10-570",257,261,1964
"10-571",257,261,1964
"10-572",256,261,1964
"10-573",256,260,1964
"10-574",255,260,1964
"10-575",255,260,1964
"10-576",255,261,1964
"10-577",255,261,1964
"10-578",254,261,1964
"10-005",292,294,1967
"10-006",293,293,1967
"10-007",293,295,1967
"10-013",271,295,1967
"10-661",250,310,1967
"08-001",346,79,1968
"10-756",254,263,1968
"10-001",290,275,1969
"08-002",276,115,1970
"10-058",383,353,1970
"10-910",383,353,1970
"14-001",216,231,1970
"15-503",194,430,1970
"10-002",263,274,1971
"10-011",211,243,1972
"10-721",284,257,1972
"10-722",280,283,1972
"10-727",281,302,1972
"14-002",285,184,1972
"14-003",263,141,1972
"14-004",152,229,1972
"10-579",288,285,1973
"10-672",217,238,1973
"10-674",216,238,1973
"10-718",280,284,1973
"10-719",276,282,1973
"10-720",287,295,1973
"10-744",276,263,1973
"10-783",290,249,1973
"10-825",224,245,1973
"10-826",221,245,1973
"10-830",287,304,1973
"14-005",194,124,1973
"14-006",388,208,1973
"14-701",267,223,1973
"08-003",231,52,1974
"08-148",290,103,1974
"08-149",290,103,1974
"08-710",231,43,1974
"08-714",290,103,1974
"08-715",290,103,1974
"10-003",420,295,1974
"10-004",365,387,1974
"10-008",259,247,1974
"10-010",344,314,1974
"10-014",348,375,1974
"10-763",322,294,1974
"10-766",355,304,1974
"10-769",396,415,1974
"10-817",328,399,1974
"10-818",341,378,1974
"10-819",328,399,1974
"14-007",189,121,1974
"14-008",180,141,1974
"14-009",385,148,1974
"14-010",262,143,1974
"14-011",262,143,1974
"10-617",259,285,1975
"10-714",281,309,1975
"10-715",259,281,1975
"10-716",272,271,1975
"10-717",291,290,1975
"10-724",267,270,1975
"10-816",366,385,1975
"15-702",143,260,1975
"15-704",132,307,1975
"15-712",143,260,1975
"15-713",143,260,1975
"15-714",143,260,1975
"15-715",143,260,1975
"08-004",364,99,1976
"08-700",305,95,1976
"08-705",336,76,1976
"10-713",259,291,1976
"10-730",288,273,1976
"10-828",365,441,1976
"10-018",312,258,1977
"10-513",371,298,1977
"10-514",371,298,1977
"10-515",373,300,1977
"10-516",375,303,1977
"10-517",375,306,1977
"10-518",371,320,1977
"10-519",372,317,1977
"10-520",371,318,1977
"10-521",374,317,1977
"10-522",374,318,1977
"10-523",375,318,1977
"10-524",374,318,1977
"10-525",381,317,1977
"10-526",381,317,1977
"10-527",381,317,1977
"10-528",379,320,1977
"10-529",378,321,1977
"10-530",383,321,1977
"10-531",385,316,1977
"10-532",385,316,1977
"10-533",385,316,1977
"10-534",388,318,1977
"10-745",313,256,1977
"10-761",314,288,1977
"14-706",399,211,1977
"14-712",167,223,1977
"14-716",176,175,1977
"14-724",196,192,1977
"14-725",167,179,1977
"14-726",172,147,1977
"14-727",189,192,1977
"14-736",276,121,1977
"14-744",189,192,1977
"08-702",276,115,1978
"08-704",188,88,1978
"08-708",218,108,1978
"10-706",301,303,1978
"10-707",292,306,1978
"10-710",284,285,1978
"10-753",228,307,1978
"10-758",253,256,1978
"10-841",228,307,1978
"14-012",175,173,1978
"14-702",247,230,1978
"14-717",168,196,1978
"14-731",254,160,1978
"14-732",232,147,1978
"14-734",290,179,1978
"14-737",385,140,1978
"14-738",393,153,1978
"14-743",170,179,1978
"08-701",283,115,1979
"10-704",271,272,1979
"10-708",283,274,1979
"10-709",286,303,1979
"10-711",259,291,1979
"10-712",311,285,1979
"10-723",277,273,1979
"10-755",254,286,1979
"10-776",375,291,1979
"10-809",357,348,1979
"10-839",311,285,1979
"10-840",311,285,1979
"14-704",320,199,1979
"14-709",153,223,1979
"14-710",153,230,1979
"14-711",160,223,1979
"14-713",139,219,1979
"14-720",182,160,1979
"14-721",174,160,1979
"14-722",189,160,1979
"14-723",182,147,1979
"15-706",147,244,1979
"15-708",155,264,1979
"10-703",262,301,1980
"10-705",268,304,1980
"10-757",254,288,1980
"10-760",334,274,1980
"10-765",333,274,1980
"10-784",264,253,1980
"10-785",284,243,1980
"10-808",355,355,1980
"10-833",323,290,1980
"14-013",317,211,1980
"14-715",183,172,1980
"14-718",172,153,1980
"14-719",174,166,1980
"14-739",342,169,1980
"08-706",340,99,1981
"08-709",218,89,1981
"10-508",274,283,1981
"10-621",258,275,1981
"10-622",245,256,1981
"10-623",259,278,1981
"10-627",259,278,1981
"10-752",253,306,1981
"10-759",347,280,1981
"10-768",386,375,1981
"10-770",375,301,1981
"10-779",269,241,1981
"10-782",286,247,1981
"10-787",377,317,1981
"10-806",361,338,1981
"10-807",314,315,1981
"10-811",313,334,1981
"10-814",366,320,1981
"10-823",224,317,1981
"13-500",220,539,1981
"14-500",283,218,1981
"14-510",383,206,1981
"14-511",158,204,1981
"14-512",189,210,1981
"14-513",391,144,1981
"14-514",160,186,1981
"14-515",163,192,1981
"14-730",247,185,1981
"14-733",296,167,1981
"15-506",170,321,1981
"15-507",161,319,1981
"15-508",195,374,1981
"15-701",135,265,1981
"15-711",135,265,1981
"08-707",357,115,1982
"10-504",253,283,1982
"10-700",271,275,1982
"10-725",418,275,1982
"10-762",319,295,1982
"10-834",418,275,1982
"14-501",453,181,1982
"14-516",383,206,1982
"14-517",163,192,1982
"10-501",270,273,1983
"10-502",259,280,1983
"10-503",269,262,1983
"10-505",277,275,1983
"10-506",277,275,1983
"10-509",253,287,1983
"10-510",268,274,1983
"10-615",365,331,1983
"10-692",291,247,1983
"10-729",297,278,1983
"10-764",321,289,1983
"10-777",394,293,1983
"10-815",362,334,1983
"14-670",172,158,1983
"15-700",172,314,1983
"15-703",135,265,1983
"08-505",231,47,1984
"10-041",422,325,1984
"10-511",254,287,1984
"10-512",262,274,1984
"10-580",353,381,1984
"10-581",353,381,1984
"10-582",353,381,1984
"10-583",252,287,1984
"10-660",252,275,1984
"10-751",298,278,1984
"10-835",293,282,1984
"14-502",177,124,1984
"14-545",169,184,1984
"14-565",190,141,1984
"14-591",280,220,1984
"15-710",150,255,1984
"08-500",281,65,1985
"08-501",281,65,1985
"08-502",284,65,1985
"08-503",281,65,1985
"08-504",282,22,1985
"08-506",404,95,1985
"08-507",404,95,1985
"10-584",395,300,1985
"10-585",395,301,1985
"10-586",395,301,1985
"10-587",394,301,1985
"10-588",394,301,1985
"10-589",394,301,1985
"10-590",394,301,1985
"10-591",394,301,1985
"10-592",394,301,1985
"10-593",394,301,1985
"10-594",394,301,1985
"10-595",394,301,1985
"10-596",395,301,1985
"10-597",395,301,1985
"10-598",418,324,1985
"10-599",371,317,1985
"10-600",373,317,1985
"10-601",374,318,1985
"10-602",373,317,1985
"10-603",373,316,1985
"10-604",395,301,1985
"10-605",395,300,1985
"10-606",395,300,1985
"10-607",420,290,1985
"10-608",416,287,1985
"10-609",424,320,1985
"10-610",393,303,1985
"10-611",413,323,1985
"10-612",254,285,1985
"10-613",272,288,1985
"10-614",259,255,1985
"10-618",440,320,1985
"10-619",314,294,1985
"10-620",247,279,1985
"10-625",276,244,1985
"10-626",251,281,1985
