Year,murders,pop,rate
1950,66,802178,8.23
1951,86,798356,10.77
1952,72,794534,9.06
1953,74,790711,9.36
1954,71,786889,9.02
1955,53,783067,6.77
1956,65,779245,8.34
1957,78,775423,10.06
1958,74,771600,9.59
1959,74,767778,9.64
1960,81,763956,10.6
1961,88,763956,11.52
1962,91,784000,11.61
1963,95,798000,11.9
1964,132,808000,16.34
1965,148,803000,18.43
1966,141,808000,17.45
1967,178,809000,22
1968,195,809000,24.1
1969,287,798000,35.96
1970,221,756510,29.21
1971,275,741000,37.11
1972,245,748000,32.75
1973,268,746000,35.92
1974,277,723000,38.31
1975,235,716000,32.82
1976,188,702000,26.78
1977,192,690000,27.83
1978,189,674000,28.04
1979,180,656000,27.44
1980,200,635233,31.48
1981,223,636000,35.06
1982,194,631000,30.74
1983,183,623000,29.37
1984,175,623000,28.09
1985,147,626000,23.48
1986,194,626000,30.99
1987,225,622000,36.17
1988,369,620000,59.52
1989,434,604000,71.85
1990,472,606900,77.77
1991,482,598000,80.6
1992,443,589000,75.21
1993,0,578000,0
1994,0,570000,0
1995,361,554000,65.16
1996,0,543000,0
1997,0,529000,0
1998,260,523000,49.71
1999,241,519000,46.44
2000,239,572059,41.78
2001,231,571822,40.4
2002,262,570898,45.89
2003,248,563384,44.02
2004,198,553523,35.77
