Year,murders,pop,rate
1950,6,168330,3.56
1951,7,168160,4.16
1952,10,167990,5.95
1953,11,167820,6.55
1954,5,167650,2.98
1955,12,167481,7.16
1956,8,167311,4.78
1957,17,167141,10.17
1958,9,166971,5.39
1959,9,166801,5.4
1960,17,166631,10.2
1961,8,166631,4.8
1962,13,164173,7.92
1963,12,169287,7.09
1964,6,160190,3.75
1965,10,165500,6.04
1966,6,164987,3.64
1967,15,164821,9.1
1968,17,164741,10.32
1969,23,164682,13.97
1970,25,139788,17.88
1971,21,141218,14.87
1972,27,137800,19.59
1973,24,135500,17.71
1974,35,133630,26.19
1975,31,131742,23.53
1976,34,131050,25.94
1977,28,132000,21.21
1978,18,129941,13.85
1979,29,130268,22.26
1980,28,115420,24.26
1981,28,115517,24.24
1982,19,115679,16.42
1983,19,115196,16.49
1984,23,111005,20.72
1985,21,107960,19.45
1986,33,108042,30.54
1987,20,108364,18.46
1988,26,105735,24.59
1989,19,101642,18.69
1990,19,95732,19.85
1991,59,96542,61.11
1992,52,97221,53.49
1993,47,94986,49.48
1994,54,95080,56.79
1995,66,92179,71.6
1996,61,92360,66.05
1997,42,92467,45.42
1998,46,86890,52.94
1999,29,85006,34.12
2000,32,82026,39.01
2001,34,82173,41.38
2002,33,82518,39.99
2003,19,80128,23.71
2004,23,79432,28.96
